date,hr_beg,ACTUAL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE
2014-01-04,19,6915.54,3639.5857142857144
2014-01-04,20,6906.09,3434.402040816326
2014-01-04,21,6017.81,3287.681632653061
2014-01-04,22,6232.89,3020.4122448979588
2014-01-04,23,4742.91,3281.491836734694
2014-01-05,0,4324.19,3812.351020408163
2014-01-05,1,4648.97,4613.095918367345
2014-01-05,2,5697.62,5411.667346938774
2014-01-05,3,6350.75,5831.326530612242
2014-01-05,4,6995.62,6169.893877551022
2014-01-05,5,7626.23,6713.965306122449
2014-01-05,6,8363.09,7148.495918367349
2014-01-05,7,8533.84,7517.2265306122445
2014-01-05,8,8686.75,7583.295918367346
2014-01-05,9,8879.94,7425.585714285717
2014-01-05,10,8441.52,7095.722448979591
2014-01-05,11,8068.03,6766.614285714287
2014-01-05,12,7941.94,6366.189795918364
2014-01-05,13,6741.24,5836.902040816326
2014-01-05,14,5128.49,5468.463265306122
2014-01-05,15,5815.91,5136.220408163265
2014-01-05,16,5580.63,4904.983673469389
2014-01-05,17,5002.94,4702.355102040817
2014-01-05,18,4486.22,4710.659183673469
2014-01-05,19,4433.8,4765.197959183673
2014-01-05,20,4485.65,4686.720408163265
2014-01-05,21,4393.52,4495.265306122448
2014-01-05,22,4171.2,4226.218367346937
2014-01-05,23,3663.13,3915.322448979591
2014-01-06,0,3502.77,4138.885714285713
2014-01-06,1,4134.66,4598.810204081632
2014-01-06,2,5009.66,5048.489795918366
2014-01-06,3,6001.65,5385.471428571427
2014-01-06,4,6654.67,5528.420408163265
2014-01-06,5,6863.69,5311.257142857143
2014-01-06,6,7260.135,4789.4
2014-01-06,7,7112.52,4051.985714285714
2014-01-06,8,5932.215,3461.9760000000006
2014-01-06,9,4652.595,2874.905999999999
2014-01-06,10,3461.67,2449.9795918367345
2014-01-06,11,2522.1549999999997,2144.676000000001
2014-01-06,12,2123.7650000000003,1847.086
2014-01-06,13,1782.14,1648.624489795918
2014-01-06,14,1539.46,1603.289795918367
2014-01-06,15,1501.5,1465.904081632653
2014-01-06,16,1404.57,1378.287755102041
2014-01-06,17,1330.9,1317.6714285714286
2014-01-06,18,1040.45,1256.2795918367344
2014-01-06,19,792.615,1215.8400000000004
2014-01-06,20,792.93,1249.814285714286
2014-01-06,21,722.77,1268.3775510204077
2014-01-06,22,686.15,1136.6163265306122
2014-01-06,23,860.12,1204.595918367347
2014-01-07,0,1161.8850000000002,1623.2320000000002
2014-01-07,1,1702.92,2456.430612244898
2014-01-07,2,2319.13,3441.0142857142846
2014-01-07,3,3322.03,4350.024489795918
2014-01-07,4,4692.575,5025.719999999999
2014-01-07,5,5646.48,5558.7448979591845
2014-01-07,6,5547.6,5967.169387755104
2014-01-07,7,5571.97,6221.675510204082
2014-01-07,8,5425.08,6486.661224489796
2014-01-07,9,5495.66,6592.8306122448985
2014-01-07,10,5307.19,6659.597959183674
2014-01-07,11,5104.47,6583.3775510204105
2014-01-07,12,5407.385,6510.036000000001
2014-01-07,13,5543.24,6571.869387755101
2014-01-07,14,5143.57,6301.983673469387
2014-01-07,15,4373.69,5314.159183673469
2014-01-07,16,4402.385,4729.163999999999
2014-01-07,17,4617.375,4560.124
2014-01-07,18,5184.145,4714.764
2014-01-07,19,5221.595,4858.662000000001
2014-01-07,20,5233.89,5074.997959183674
2014-01-07,21,5657.33,5321.255102040817
2014-01-07,22,6269.93,5565.777551020407
2014-01-07,23,6551.08,6116.638775510202
2014-01-08,0,7160.15,7036.887755102037
2014-01-08,1,7699.22,7827.2510204081655
2014-01-08,2,7956.205,8226.874
2014-01-08,3,8068.06,8373.542857142855
2014-01-08,4,8050.635,8408.484000000002
2014-01-08,5,7905.37,8444.17551020408
2014-01-08,6,8048.12,8380.355102040818
2014-01-08,7,8044.49,8267.102040816326
2014-01-08,8,7977.44,8178.246938775511
2014-01-08,9,7712.48,8071.891836734691
2014-01-08,10,7361.42,7886.522448979591
2014-01-08,11,7039.77,7631.938775510205
2014-01-08,12,6670.19,7268.857142857143
2014-01-08,13,6633.78,7001.693877551021
2014-01-08,14,6089.8,6530.091836734694
2014-01-08,15,5483.44,5405.583673469388
2014-01-08,16,4833.63,4519.655102040816
2014-01-08,17,3997.61,3951.118367346938
2014-01-08,18,3180.48,3505.2163265306112
2014-01-08,19,2190.01,3086.0653061224493
2014-01-08,20,1682.08,2750.6632653061224
2014-01-08,21,1472.53,2472.575510204082
2014-01-08,22,1122.81,2230.3999999999996
2014-01-08,23,975.51,2323.681632653061
2014-01-09,0,1197.55,2765.502040816327
2014-01-09,1,1503.75,3260.230612244897
2014-01-09,2,1821.72,3713.7204081632663
2014-01-09,3,2430.46,4008.1326530612255
2014-01-09,4,3179.43,4081.657142857142
2014-01-09,5,2917.23,3950.642857142858
2014-01-09,6,2574.98,3573.8244897959194
2014-01-09,7,2214.81,3186.6387755102046
2014-01-09,8,1565.22,2854.122448979592
2014-01-09,9,1033.74,2496.3959183673473
2014-01-09,10,764.33,2202.410204081633
2014-01-09,11,765.35,1988.3285714285716
2014-01-09,12,733.37,1787.422448979592
2014-01-09,13,504.25,1574.514285714286
2014-01-09,14,288.5,1386.8489795918365
2014-01-09,15,194.99,1237.0265306122444
2014-01-09,16,184.16,1149.875510204082
2014-01-09,17,218.37,1266.4551020408164
2014-01-09,18,462.75,1457.4265306122452
2014-01-09,19,723.8,1660.5183673469387
2014-01-09,20,922.64,1913.4918367346945
2014-01-09,21,1086.49,2112.2387755102045
2014-01-09,22,1424.34,2318.920408163265
2014-01-09,23,1834.01,2646.5428571428574
2014-01-10,0,2882.47,3346.2224489795913
2014-01-10,1,4370.04,4357.442857142857
2014-01-10,2,5463.38,5546.644897959186
2014-01-10,3,6416.76,6451.659183673471
2014-01-10,4,7010.12,6925.071428571428
2014-01-10,5,7082.67,7119.330612244897
2014-01-10,6,6973.29,7054.742857142856
2014-01-10,7,6902.39,6881.904081632656
